Tool id,Name,Entity Type,Entity Category,Entity Sub Category,Description,License,Language Compatibility
1,Python,Language,General Purpose Language,,Python is a powerful yet approachable programming language that empowers developers to build a wide variety of software applications efficiently and effectively. ,Open Source,
2,FastAPI,Framework / Libraries,Web Development,Backend,"FastAPI is a modern, fast (high-performance), web framework for building APIs with Python based on standard Python type hints.",Open Source,
3,Java,Language,General Purpose Language,,"Java is a widely used object-oriented programming language and software platform that runs on billions of devices, including notebook computers, mobile devices, gaming consoles, medical devices and many others. ",Open Source,
4,PostgreSQL,Database,"Relational, Object-Oriented",,"PostgreSQL is a powerful, open source object-relational database system with over 35 years of active development that has earned it a strong reputation for reliability, feature robustness, and performance.",Open source,
5,Oracle Database,Database,Relational,,"Oracle Database (often referred to as Oracle DBMS or simply Oracle) is a proprietary, multi-model database management system produced and marketed by Oracle Corporation.",Commercial,
6,Chroma,Database,Vector,,"Chroma is the open-source AI application database. Batteries included. Embeddings, vector search, document storage, full-text search, metadata filtering, and multi-modal. All in one place. Retrieval that just works. As it should be.",Open Source,
7,Pinecone,Database,Vector,,The vector database for scale in production,Commercial,
8,Django,Framework / Libraries,Web Development,Full-Stack,"Django is a high-level Python web framework that encourages rapid development and clean, pragmatic design. ",Open Source,
9,React JS,Framework / Libraries,Web Development,Frontend,"React is a free and open-source front-end JavaScript library that aims to make building user interfaces based on components more ""seamless"".",Open Source,
10,Node JS,Framework / Libraries,Web Development,Backend,"Node.js® is a free, open-source, cross-platform JavaScript runtime environment that lets developers create servers, web apps, command line tools and scripts.",Open Source,
11,MongoDB,Database,General Purpose Database,,,Commercial,
12,Google Cloud Platform,Infastructure,Platform,Cloud,"Google Cloud Platform is a suite of cloud computing services offered by Google that provides a series of modular cloud services including computing, data storage, data analytics, and machine learning, alongside a set of management tools.",Commercial,
13,Amazon Web Service,Infastructure ,Platform,Cloud,"Amazon Web Services, Inc. is a subsidiary of Amazon that provides on-demand cloud computing platforms and APIs to individuals, companies, and governments, on a metered, pay-as-you-go basis. ",Commercial,
14,Tensorflow,Framework / Libraries,Data Science and Machine Learning,Train ML and DL,An end-to-end platform for machine learning. TensorFlow makes it easy to create ML models that can run in any environment.,Open Source.,
15,LlamaIndex,Framework / Libraries,Data Science and Machine Learning,Build LLM Applications,"Build production agents that can find information, synthesize insights, generate reports, and take actions over the most complex enterprise data.",Open Source.,
16,Langchain,Framework / Libraries,Data Science and Machine Learning,Build LLM Applications,LangChain is a software framework that helps facilitate the integration of large language models (LLMs) into applications. ,Open Source.,
17,Auth0,Security,Both Authentication and Authorization,,"Auth0 is an easy to implement, adaptable authentication and authorization platform",Commercial,
18,Passport,Security,Authentication,,"Passport is authentication middleware for Node.js. Extremely flexible and modular, Passport can be unobtrusively dropped in to any Express-based web application. A comprehensive set of strategies support authentication using a username and password, Facebook, Twitter, and more.",Open Source,
19,Hankio,Security,Authentication,,"Hanko is an open-source authentication solution that's big on passkey-based authentication, like Apple and Google. It comes with a backend for authentication, OAuth SSO, user management, and JWT issuing",Open Source.,
20,Supertokens,Security,Authentication,,Supertokens is an open source authentication provider which allows you to add secure login and session management to your apps.,Open Source.,
21,Splunk,Monitoring and Logging,Both,,Splunk is a unified security and observability platform.,Commercial,
22,Solarwinds,Monitoring and Logging,Both Authentication and Authorization,,Solarwinds is a unified security and observability platform.,Commercial,
23,Angular JS,Framework / Libraries,Web Development,Frontend,"Angular is a web frontend framework that empowers developers to build fast, reliable applications.",Open Source.,
24,Vue JS,Framework / Libraries,Web Development,Frontend,Vue JS is an open-source model–view–viewmodel front end JavaScript framework for building user interfaces and single-page applications.,Open Source.,